time	ax	ay	az	atotal
4.251	-0.17	-0.08	-0.05	0.19
4.259	-0.02	-0.2	-0.06	0.21
4.271	0.12	-0.22	-0.05	0.25
4.281	0.23	-0.16	-0.01	0.28
4.291	0.22	-0.2	-0.03	0.3
4.301	0.12	-0.36	-0.06	0.39
4.309	-0.02	-0.57	-0.06	0.58
4.321	-0.09	-0.29	0.03	0.31
4.331	0.28	0.4	0.09	0.5
4.342	0.57	0.84	0.06	1.01
4.351	0.37	0.59	0.07	0.69
4.359	0.27	0.11	-0.01	0.3
4.372	0.33	-0.22	-0.01	0.4
4.382	0.43	-0.34	0.07	0.55
4.392	0.39	-0.31	0.13	0.52
4.402	0.28	-0.39	0.1	0.49
4.409	0.26	-0.61	0.06	0.67
4.422	0.41	-0.32	-0.07	0.52
4.432	0.51	-0.01	-0.09	0.52
4.443	0.26	0.29	0.09	0.4
4.453	0.06	0.56	0.1	0.57
4.459	0.07	0.43	0	0.44
4.473	0.22	0.1	0.09	0.26
4.483	0.42	0.01	0.2	0.47
4.493	0.48	-0.13	0.12	0.51
4.503	0.35	-0.31	0.03	0.47
4.509	0.36	-0.31	0.02	0.47
4.523	-0.03	-0.37	-0.06	0.38
4.533	0.03	-0.3	-0.01	0.3
4.543	0.06	-0.16	0.02	0.18
4.553	0.06	-0.02	0.01	0.07
4.559	0.07	-0.02	0	0.07
4.573	0.27	0.07	-0.01	0.28
4.583	0.31	-0.04	0.01	0.31
4.593	0.28	-0.06	-0.02	0.29
4.604	0.23	0.07	0.04	0.25
4.609	0.24	0.07	0.04	0.25
4.624	0.21	0.18	0.03	0.28
4.634	0.19	0.11	-0.06	0.23
4.643	0.19	0.11	-0.06	0.23
4.654	0.22	-0.09	-0.01	0.23
4.659	0.21	-0.09	-0.01	0.23
4.674	0.24	-0.15	0.04	0.28
4.684	0.23	-0.2	-0.05	0.31
4.693	0.22	-0.2	-0.05	0.31
4.7	0.2	-0.17	-0.04	0.26
4.709	0.21	-0.11	0	0.24
4.724	0.17	0.02	0	0.17
4.734	0.14	-0.07	-0.03	0.16
4.743	0.14	-0.07	-0.03	0.16
4.754	0.2	-0.03	-0.04	0.21
4.76	0.21	-0.03	-0.04	0.21
4.774	0.12	-0.2	-0.07	0.24
4.784	0.06	-0.21	-0.06	0.23
4.793	0.07	-0.22	-0.06	0.23
4.804	0.09	0.06	-0.01	0.11
4.81	0.1	0.06	-0.01	0.11
4.824	0.16	0.05	0	0.16
4.834	0.26	-0.12	-0.07	0.29
4.843	0.26	-0.12	-0.08	0.3
4.854	0.21	-0.19	-0.09	0.29
4.86	0.21	-0.19	-0.09	0.3
4.875	0.21	-0.41	-0.05	0.46
4.884	0.16	-0.37	-0.04	0.41
4.893	0.16	-0.38	-0.04	0.41
4.905	0.12	0.13	0.1	0.2
4.91	0.13	0.13	0.1	0.21
4.925	0.31	0.46	0.08	0.56
4.934	0.37	0.46	0.02	0.6
4.943	0.39	0.46	0.01	0.61
4.955	0.55	0.07	-0.05	0.55
4.96	0.55	0.07	-0.05	0.56
4.975	0.17	-0.22	0.01	0.28
4.985	-0.09	-0.23	-0.01	0.25
4.992	-0.08	-0.23	-0.01	0.25
5.005	-0.04	-0.2	-0.1	0.23
5.015	0.16	-0.19	-0.1	0.27
5.025	0.18	-0.17	-0.01	0.25
5.035	0.23	-0.08	0.04	0.25
5.043	0.23	-0.08	0.04	0.25
5.055	0.28	0.17	0.13	0.35
5.065	0.12	0.19	0.04	0.23
5.075	0.04	0.05	-0.09	0.11
5.085	0.08	-0.05	-0.04	0.1
5.092	0.08	-0.06	-0.04	0.1
5.105	0.14	-0.17	-0.03	0.22
5.114	0.14	-0.17	-0.03	0.22
5.125	0.16	-0.35	0	0.38
5.135	0.11	-0.27	0.03	0.29
5.143	0.11	-0.27	0.03	0.29
5.155	-0.02	-0.12	-0.01	0.12
5.165	0.01	0.02	0.01	0.03
5.175	0.14	0.12	0.07	0.2
